Weight_Class,Max_Rounds,Ending_Round,Winner,Win_By,B_Name,B_Age,B_Height,B_Weight,B_Reach,B_Stance,B_Wins,B_Losses,B_Draws,B_Career_Significant_Strikes_Landed_PM,B_Career_Striking_Accuracy,B_Career_Significant_Strike_Defence,B_Career_Takedown_Average,B_Career_Takedown_Accuracy,B_Career_Takedown_Defence,B_Career_Submission_Average,B_Knockdowns,B_Significant_Strikes_Landed,B_Significant_Strikes_Attempted,B_Significant_Strike_Perc,B_Significant_Strikes_Distance_Landed,B_Significant_Strikes_Distance_Attempted,B_Significant_Strikes_Clinch_Landed,B_Significant_Strikes_Clinch_Attempted,B_Significant_Strikes_Ground_Landed,B_Significant_Strikes_Ground_Attempted,B_Head_Significant_Strikes_Attempted,B_Head_Significant_Strikes_Landed,B_Body_Significant_Strikes_Attempted,B_Body_Significant_Strikes_Landed,B_Leg_Significant_Strikes_Attempted,B_Leg_Significant_Strikes_Landed,B_Total_Strikes_Attempted,B_Total_Strikes_Landed,B_Takedowns_Attempted,B_Takedowns_Landed,B_Takedown_Perc,B_Submission_Attempts,B_Grappling_Reversals,B_Grappling_Control_Time,B_Round_One_Knockdowns,B_Round_One_Significant_Strikes_Landed,B_Round_One_Significant_Strikes_Attempted,B_Round_One_Significant_Strike_Perc,B_Round_One_Significant_Strikes_Distance_Landed,B_Round_One_Significant_Strikes_Distance_Attempted,B_Round_One_Significant_Strikes_Clinch_Landed,B_Round_One_Significant_Strikes_Clinch_Attempted,B_Round_One_Significant_Strikes_Ground_Landed,B_Round_One_Significant_Strikes_Ground_Attempted,B_Round_One_Head_Significant_Strikes_Attempted,B_Round_One_Head_Significant_Strikes_Landed,B_Round_One_Body_Significant_Strikes_Attempted,B_Round_One_Body_Significant_Strikes_Landed,B_Round_One_Leg_Significant_Strikes_Attempted,B_Round_One_Leg_Significant_Strikes_Landed,B_Round_One_Total_Strikes_Attempted,B_Round_One_Total_Strikes_Landed,B_Round_One_Takedowns_Attempted,B_Round_One_Takedowns_Landed,B_Round_One_Takedown_Perc,B_Round_One_Submission_Attempts,B_Round_One_Grappling_Reversals,B_Round_One_Grappling_Control_Time,B_Round_Two_Knockdowns,B_Round_Two_Significant_Strikes_Landed,B_Round_Two_Significant_Strikes_Attempted,B_Round_Two_Significant_Strike_Perc,B_Round_Two_Significant_Strikes_Distance_Landed,B_Round_Two_Significant_Strikes_Distance_Attempted,B_Round_Two_Significant_Strikes_Clinch_Landed,B_Round_Two_Significant_Strikes_Clinch_Attempted,B_Round_Two_Significant_Strikes_Ground_Landed,B_Round_Two_Significant_Strikes_Ground_Attempted,B_Round_Two_Head_Significant_Strikes_Attempted,B_Round_Two_Head_Significant_Strikes_Landed,B_Round_Two_Body_Significant_Strikes_Attempted,B_Round_Two_Body_Significant_Strikes_Landed,B_Round_Two_Leg_Significant_Strikes_Attempted,B_Round_Two_Leg_Significant_Strikes_Landed,B_Round_Two_Total_Strikes_Attempted,B_Round_Two_Total_Strikes_Landed,B_Round_Two_Takedowns_Attempted,B_Round_Two_Takedowns_Landed,B_Round_Two_Takedown_Perc,B_Round_Two_Submission_Attempts,B_Round_Two_Grappling_Reversals,B_Round_Two_Grappling_Control_Time,B_Round_Three_Knockdowns,B_Round_Three_Significant_Strikes_Landed,B_Round_Three_Significant_Strikes_Attempted,B_Round_Three_Significant_Strike_Perc,B_Round_Three_Significant_Strikes_Distance_Landed,B_Round_Three_Significant_Strikes_Distance_Attempted,B_Round_Three_Significant_Strikes_Clinch_Landed,B_Round_Three_Significant_Strikes_Clinch_Attempted,B_Round_Three_Significant_Strikes_Ground_Landed,B_Round_Three_Significant_Strikes_Ground_Attempted,B_Round_Three_Head_Significant_Strikes_Attempted,B_Round_Three_Head_Significant_Strikes_Landed,B_Round_Three_Body_Significant_Strikes_Attempted,B_Round_Three_Body_Significant_Strikes_Landed,B_Round_Three_Leg_Significant_Strikes_Attempted,B_Round_Three_Leg_Significant_Strikes_Landed,B_Round_Three_Total_Strikes_Attempted,B_Round_Three_Total_Strikes_Landed,B_Round_Three_Takedowns_Attempted,B_Round_Three_Takedowns_Landed,B_Round_Three_Takedown_Perc,B_Round_Three_Submission_Attempts,B_Round_Three_Grappling_Reversals,B_Round_Three_Grappling_Control_Time,B_Round_Four_Knockdowns,B_Round_Four_Significant_Strikes_Landed,B_Round_Four_Significant_Strikes_Attempted,B_Round_Four_Significant_Strike_Perc,B_Round_Four_Significant_Strikes_Distance_Landed,B_Round_Four_Significant_Strikes_Distance_Attempted,B_Round_Four_Significant_Strikes_Clinch_Landed,B_Round_Four_Significant_Strikes_Clinch_Attempted,B_Round_Four_Significant_Strikes_Ground_Landed,B_Round_Four_Significant_Strikes_Ground_Attempted,B_Round_Four_Head_Significant_Strikes_Attempted,B_Round_Four_Head_Significant_Strikes_Landed,B_Round_Four_Body_Significant_Strikes_Attempted,B_Round_Four_Body_Significant_Strikes_Landed,B_Round_Four_Leg_Significant_Strikes_Attempted,B_Round_Four_Leg_Significant_Strikes_Landed,B_Round_Four_Total_Strikes_Attempted,B_Round_Four_Total_Strikes_Landed,B_Round_Four_Takedowns_Attempted,B_Round_Four_Takedowns_Landed,B_Round_Four_Takedown_Perc,B_Round_Four_Submission_Attempts,B_Round_Four_Grappling_Reversals,B_Round_Four_Grappling_Control_Time,B_Round_Five_Knockdowns,B_Round_Five_Significant_Strikes_Landed,B_Round_Five_Significant_Strikes_Attempted,B_Round_Five_Significant_Strike_Perc,B_Round_Five_Significant_Strikes_Distance_Landed,B_Round_Five_Significant_Strikes_Distance_Attempted,B_Round_Five_Significant_Strikes_Clinch_Landed,B_Round_Five_Significant_Strikes_Clinch_Attempted,B_Round_Five_Significant_Strikes_Ground_Landed,B_Round_Five_Significant_Strikes_Ground_Attempted,B_Round_Five_Head_Significant_Strikes_Attempted,B_Round_Five_Head_Significant_Strikes_Landed,B_Round_Five_Body_Significant_Strikes_Attempted,B_Round_Five_Body_Significant_Strikes_Landed,B_Round_Five_Leg_Significant_Strikes_Attempted,B_Round_Five_Leg_Significant_Strikes_Landed,B_Round_Five_Total_Strikes_Attempted,B_Round_Five_Total_Strikes_Landed,B_Round_Five_Takedowns_Attempted,B_Round_Five_Takedowns_Landed,B_Round_Five_Takedown_Perc,B_Round_Five_Submission_Attempts,B_Round_Five_Grappling_Reversals,B_Round_Five_Grappling_Control_Time,R_Name,R_Age,R_Height,R_Weight,R_Reach,R_Stance,R_Wins,R_Losses,R_Draws,R_Career_Significant_Strikes_Landed_PM,R_Career_Striking_Accuracy,R_Career_Significant_Strike_Defence,R_Career_Takedown_Average,R_Career_Takedown_Accuracy,R_Career_Takedown_Defence,R_Career_Submission_Average,R_Knockdowns,R_Significant_Strikes_Landed,R_Significant_Strikes_Attempted,R_Significant_Strike_Perc,R_Significant_Strikes_Distance_Landed,R_Significant_Strikes_Distance_Attempted,R_Significant_Strikes_Clinch_Landed,R_Significant_Strikes_Clinch_Attempted,R_Significant_Strikes_Ground_Landed,R_Significant_Strikes_Ground_Attempted,R_Head_Significant_Strikes_Attempted,R_Head_Significant_Strikes_Landed,R_Body_Significant_Strikes_Attempted,R_Body_Significant_Strikes_Landed,R_Leg_Significant_Strikes_Attempted,R_Leg_Significant_Strikes_Landed,R_Total_Strikes_Attempted,R_Total_Strikes_Landed,R_Takedowns_Attempted,R_Takedowns_Landed,R_Takedown_Perc,R_Submission_Attempts,R_Grappling_Reversals,R_Grappling_Control_Time,R_Round_One_Knockdowns,R_Round_One_Significant_Strikes_Landed,R_Round_One_Significant_Strikes_Attempted,R_Round_One_Significant_Strike_Perc,R_Round_One_Significant_Strikes_Distance_Attempted,R_Round_One_Significant_Strikes_Distance_Landed,R_Round_One_Significant_Strikes_Clinch_Attempted,R_Round_One_Significant_Strikes_Clinch_Landed,R_Round_One_Significant_Strikes_Ground_Attempted,R_Round_One_Significant_Strikes_Ground_Landed,R_Round_One_Head_Significant_Strikes_Attempted,R_Round_One_Head_Significant_Strikes_Landed,R_Round_One_Body_Significant_Strikes_Attempted,R_Round_One_Body_Significant_Strikes_Landed,R_Round_One_Leg_Significant_Strikes_Attempted,R_Round_One_Leg_Significant_Strikes_Landed,R_Round_One_Total_Strikes_Attempted,R_Round_One_Total_Strikes_Landed,R_Round_One_Takedowns_Attempted,R_Round_One_Takedowns_Landed,R_Round_One_Takedown_Perc,R_Round_One_Submission_Attempts,R_Round_One_Grappling_Reversals,R_Round_One_Grappling_Control_Time,R_Round_Two_Knockdowns,R_Round_Two_Significant_Strikes_Landed,R_Round_Two_Significant_Strikes_Attempted,R_Round_Two_Significant_Strike_Perc,R_Round_Two_Significant_Strikes_Distance_Attempted,R_Round_Two_Significant_Strikes_Distance_Landed,R_Round_Two_Significant_Strikes_Clinch_Attempted,R_Round_Two_Significant_Strikes_Clinch_Landed,R_Round_Two_Significant_Strikes_Ground_Attempted,R_Round_Two_Significant_Strikes_Ground_Landed,R_Round_Two_Head_Significant_Strikes_Attempted,R_Round_Two_Head_Significant_Strikes_Landed,R_Round_Two_Body_Significant_Strikes_Attempted,R_Round_Two_Body_Significant_Strikes_Landed,R_Round_Two_Leg_Significant_Strikes_Attempted,R_Round_Two_Leg_Significant_Strikes_Landed,R_Round_Two_Total_Strikes_Attempted,R_Round_Two_Total_Strikes_Landed,R_Round_Two_Takedowns_Attempted,R_Round_Two_Takedowns_Landed,R_Round_Two_Takedown_Perc,R_Round_Two_Submission_Attempts,R_Round_Two_Grappling_Reversals,R_Round_Two_Grappling_Control_Time,R_Round_Three_Knockdowns,R_Round_Three_Significant_Strikes_Landed,R_Round_Three_Significant_Strikes_Attempted,R_Round_Three_Significant_Strike_Perc,R_Round_Three_Significant_Strikes_Distance_Attempted,R_Round_Three_Significant_Strikes_Distance_Landed,R_Round_Three_Significant_Strikes_Clinch_Attempted,R_Round_Three_Significant_Strikes_Clinch_Landed,R_Round_Three_Significant_Strikes_Ground_Attempted,R_Round_Three_Significant_Strikes_Ground_Landed,R_Round_Three_Head_Significant_Strikes_Attempted,R_Round_Three_Head_Significant_Strikes_Landed,R_Round_Three_Body_Significant_Strikes_Attempted,R_Round_Three_Body_Significant_Strikes_Landed,R_Round_Three_Leg_Significant_Strikes_Attempted,R_Round_Three_Leg_Significant_Strikes_Landed,R_Round_Three_Total_Strikes_Attempted,R_Round_Three_Total_Strikes_Landed,R_Round_Three_Takedowns_Attempted,R_Round_Three_Takedowns_Landed,R_Round_Three_Takedown_Perc,R_Round_Three_Submission_Attempts,R_Round_Three_Grappling_Reversals,R_Round_Three_Grappling_Control_Time,R_Round_Four_Knockdowns,R_Round_Four_Significant_Strikes_Landed,R_Round_Four_Significant_Strikes_Attempted,R_Round_Four_Significant_Strike_Perc,R_Round_Four_Significant_Strikes_Distance_Attempted,R_Round_Four_Significant_Strikes_Distance_Landed,R_Round_Four_Significant_Strikes_Clinch_Attempted,R_Round_Four_Significant_Strikes_Clinch_Landed,R_Round_Four_Significant_Strikes_Ground_Attempted,R_Round_Four_Significant_Strikes_Ground_Landed,R_Round_Four_Head_Significant_Strikes_Attempted,R_Round_Four_Head_Significant_Strikes_Landed,R_Round_Four_Body_Significant_Strikes_Attempted,R_Round_Four_Body_Significant_Strikes_Landed,R_Round_Four_Leg_Significant_Strikes_Attempted,R_Round_Four_Leg_Significant_Strikes_Landed,R_Round_Four_Total_Strikes_Attempted,R_Round_Four_Total_Strikes_Landed,R_Round_Four_Takedowns_Attempted,R_Round_Four_Takedowns_Landed,R_Round_Four_Takedown_Perc,R_Round_Four_Submission_Attempts,R_Round_Four_Grappling_Reversals,R_Round_Four_Grappling_Control_Time,R_Round_Five_Knockdowns,R_Round_Five_Significant_Strikes_Landed,R_Round_Five_Significant_Strikes_Attempted,R_Round_Five_Significant_Strike_Perc,R_Round_Five_Significant_Strikes_Distance_Attempted,R_Round_Five_Significant_Strikes_Distance_Landed,R_Round_Five_Significant_Strikes_Clinch_Attempted,R_Round_Five_Significant_Strikes_Clinch_Landed,R_Round_Five_Significant_Strikes_Ground_Attempted,R_Round_Five_Significant_Strikes_Ground_Landed,R_Round_Five_Head_Significant_Strikes_Attempted,R_Round_Five_Head_Significant_Strikes_Landed,R_Round_Five_Body_Significant_Strikes_Attempted,R_Round_Five_Body_Significant_Strikes_Landed,R_Round_Five_Leg_Significant_Strikes_Attempted,R_Round_Five_Leg_Significant_Strikes_Landed,R_Round_Five_Total_Strikes_Attempted,R_Round_Five_Total_Strikes_Landed,R_Round_Five_Takedowns_Attempted,R_Round_Five_Takedowns_Landed,R_Round_Five_Takedown_Perc,R_Round_Five_Submission_Attempts,R_Round_Five_Grappling_Reversals,R_Round_Five_Grappling_Control_Time,R_Age_Bucket,B_Age_Bucket,R_Height_Bucket,B_Height_Bucket
Heavyweight,5,1,Blue,SUB,Tom Aspinall,28,77,256,78,Orthodox,12,2,0,7.19,65,70,2.73,100,100,1.4,0,29,43,67,16,26,1,1,12,16,30,16,5,5,8,8,50,35,2,2,100,1,0,1:54,0,29,43,67,16,26,1,1,12,16,30,16,5,5,8,8,50,35,2,2,100,1,0,1:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Volkov,33,79,250,80,Orthodox,34,10,0,4.86,57,54,0.53,70,73,0.1,0,13,23,56,13,22,0,0,0,1,16,6,5,5,2,2,23,13,0,0,,0,0,0:00,0,13,23,56,22,13,0,0,1,0,16,6,5,5,2,2,23,13,0,0,,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(32.0, 47.0]","(27.0, 29.0]","(73.0, 83.0]","(73.0, 83.0]"
Featherweight,3,1,Red,KO/TKO,Dan Hooker,32,72,145,75,Switch,21,12,0,4.9,47,52,0.9,36,78,0.2,0,14,49,28,14,49,0,0,0,0,44,11,2,0,3,3,49,14,0,0,,0,0,0:00,0,14,49,28,14,49,0,0,0,0,44,11,2,0,3,3,49,14,0,0,,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnold Allen,28,68,145,70,Southpaw,18,1,0,2.96,40,66,1.44,50,76,0.4,0,49,84,58,46,75,3,9,0,0,78,43,0,0,6,6,85,50,0,0,,0,0,0:02,0,49,84,58,75,46,9,3,0,0,78,43,0,0,6,6,85,50,0,0,,0,0,0:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27.0, 30.0]","(29.0, 32.0]","(59.999, 68.0]","(70.0, 73.0]"
Lightweight,3,1,Red,SUB,Kazula Vargas,36,68,155,71,Southpaw,12,5,0,3.85,53,58,0.44,25,25,0.4,0,7,9,77,2,4,2,2,3,3,7,5,2,2,0,0,21,16,0,0,,0,0,2:43,0,7,9,77,2,4,2,2,3,3,7,5,2,2,0,0,21,16,0,0,,0,0,2:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paddy Pimblett,27,70,155,73,Orthodox,18,3,0,10.64,58,50,0.0,0,0,0.0,0,3,6,50,2,4,0,1,1,1,4,1,0,0,2,2,8,5,2,1,50,1,0,0:53,0,3,6,50,4,2,1,0,1,1,4,1,0,0,2,2,8,5,2,1,50,1,0,0:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(18.999, 27.0]","(32.0, 51.0]","(68.0, 71.0]","(59.999, 68.0]"
Welterweight,3,3,Red,DEC,Takashi Sato,31,70,170,73,Southpaw,16,5,0,3.16,37,50,0.53,50,75,0.0,0,9,23,39,9,23,0,0,0,0,16,4,4,2,3,3,34,16,0,0,,0,0,0:00,0,4,12,33,4,12,0,0,0,0,8,2,2,0,2,2,12,4,0,0,,0,0,0:00,0,3,4,75,3,4,0,0,0,0,2,1,1,1,1,1,4,3,0,0,,0,0,0:00,0,2,7,28,2,7,0,0,0,0,6,1,1,1,0,0,18,9,0,0,,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnar Nelson,33,71,170,72,Switch,18,5,1,1.71,57,49,1.72,55,66,0.9,0,44,55,80,10,20,1,2,33,33,47,36,7,7,1,1,166,140,3,3,100,1,0,8:09,0,24,29,82,8,4,1,0,20,20,26,21,2,2,1,1,52,46,1,1,100,0,0,2:05,0,12,16,75,9,5,0,0,7,7,13,9,3,3,0,0,32,25,1,1,100,0,0,2:36,0,8,10,80,3,1,1,1,6,6,8,6,2,2,0,0,82,69,1,1,100,1,0,3:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(32.0, 47.0]","(29.0, 32.0]","(68.0, 71.0]","(68.0, 70.0]"
Lightweight,3,2,Blue,KO/TKO,Ilia Topuria,25,67,155,69,Orthodox,12,0,0,2.77,48,64,3.35,55,100,3.4,1,20,41,48,14,35,2,2,4,4,37,17,4,3,0,0,55,31,4,1,25,0,0,2:41,0,12,27,44,6,21,2,2,4,4,25,11,2,1,0,0,41,23,4,1,25,0,0,2:38,1,8,14,57,8,14,0,0,0,0,12,6,2,2,0,0,14,8,0,0,,0,0,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jai Herbert,33,73,155,77,Orthodox,11,4,0,2.18,36,44,0.0,0,30,0.0,1,22,63,34,19,59,1,1,2,3,60,20,2,1,1,1,94,50,0,0,,0,0,0:07,1,19,47,40,43,16,1,1,3,2,45,18,1,0,1,1,78,47,0,0,,0,0,0:07,0,3,16,18,16,3,0,0,0,0,15,2,1,1,0,0,16,3,0,0,,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(32.0, 47.0]","(17.999, 27.0]","(71.0, 73.0]","(59.999, 68.0]"
Featherweight,3,1,Blue,SUB,Makwan Amirkhani,33,70,145,72,Southpaw,17,7,0,1.37,44,51,4.12,43,57,1.1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,1,0,0:15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,1,0,0:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Grundy,35,67,145,72,Orthodox,12,4,0,2.14,45,56,3.78,26,50,0.4,0,0,3,0,0,3,0,0,0,0,2,0,1,0,0,0,3,0,1,1,100,0,0,0:31,0,0,3,0,3,0,0,0,0,0,2,0,1,0,0,0,3,0,1,1,100,0,0,0:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(32.0, 47.0]","(32.0, 51.0]","(59.999, 68.0]","(68.0, 70.0]"
Heavyweight,3,1,Blue,KO/TKO,Sergei Pavlovich,29,75,257,84,Southpaw,15,1,0,6.55,52,44,0.0,0,50,0.0,1,21,47,44,6,22,4,8,11,17,46,21,1,0,0,0,48,22,0,0,,0,0,0:12,1,21,47,44,6,22,4,8,11,17,46,21,1,0,0,0,48,22,0,0,,0,0,0:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shamil Abdurakhimov,40,75,235,76,Orthodox,20,7,0,2.53,43,58,1.14,24,47,0.2,0,17,34,50,17,34,0,0,0,0,16,4,5,4,13,9,34,17,1,0,0,0,0,0:00,0,17,34,50,34,17,0,0,0,0,16,4,5,4,13,9,34,17,1,0,0,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(32.0, 47.0]","(27.0, 29.0]","(73.0, 83.0]","(73.0, 83.0]"
Light Heavyweight,3,1,Blue,SUB,Paul Craig,34,75,205,76,Orthodox,16,4,1,2.59,51,50,2.06,25,55,1.9,0,2,3,66,0,0,0,0,2,3,3,2,0,0,0,0,12,11,1,1,100,1,0,0:02,0,2,3,66,0,0,0,0,2,3,3,2,0,0,0,0,12,11,1,1,100,1,0,0:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikita Krylov,30,75,205,77,Orthodox,27,9,0,4.33,56,43,1.34,33,55,1.3,0,19,25,76,3,3,0,0,16,22,24,18,1,1,0,0,39,30,1,1,100,0,0,3:49,0,19,25,76,3,3,0,0,22,16,24,18,1,1,0,0,39,30,1,1,100,0,0,3:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27.0, 30.0]","(32.0, 51.0]","(73.0, 83.0]","(73.0, 83.0]"
Bantamweight,3,3,Red,DEC,Timur Valiev,32,66,135,67,Orthodox,18,3,0 (1 NC),5.35,55,50,1.62,33,50,0.0,0,72,150,48,67,144,5,6,0,0,83,23,40,26,27,23,155,75,3,2,66,1,0,2:03,0,30,58,51,28,56,2,2,0,0,27,8,18,12,13,10,58,30,2,1,50,0,0,0:22,0,21,41,51,20,40,1,1,0,0,19,4,12,7,10,10,46,24,1,1,100,0,0,1:37,0,21,51,41,19,48,2,3,0,0,37,11,10,7,4,3,51,21,0,0,,1,0,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Shore,27,68,135,71,Orthodox,16,0,0,4.03,58,65,4.47,41,100,0.9,2,70,107,65,54,89,5,7,11,11,81,46,17,15,9,9,128,87,7,3,42,0,0,4:42,0,24,37,64,35,22,2,2,0,0,24,12,6,5,7,7,39,26,1,0,0,0,0,0:29,0,17,28,60,25,15,3,2,0,0,19,9,8,7,1,1,35,23,3,1,33,0,0,1:38,2,29,42,69,29,17,2,1,11,11,38,25,3,3,1,1,54,38,3,2,66,0,0,2:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(18.999, 27.0]","(29.0, 32.0]","(59.999, 68.0]","(59.999, 68.0]"
Flyweight,3,1,Red,SUB,Cody Durden,30,67,125,67,Southpaw,12,4,1,3.51,46,48,4.05,36,60,0.5,0,1,5,20,1,5,0,0,0,0,2,0,1,1,2,0,5,1,1,1,100,0,0,0:00,0,1,5,20,1,5,0,0,0,0,2,0,1,1,2,0,5,1,1,1,100,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Mokaev,21,67,125,70,Orthodox,7,0,0 (1 NC),0.0,0,0,0.0,0,0,0.0,1,2,5,40,2,4,0,0,0,1,3,1,2,1,0,0,5,2,0,0,,1,0,0:11,1,2,5,40,4,2,0,0,1,0,3,1,2,1,0,0,5,2,0,0,,1,0,0:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(18.999, 27.0]","(29.0, 32.0]","(59.999, 68.0]","(59.999, 68.0]"
